"","U_ID","CODEBASE","CODE1","CODE2","VILLCODE","VILLAGE_ID","VILLAGE","TOWN_ID","TOWN","COUNTY_ID","COUNTY","USE_CODE","LINE","SPECODE","X","Y","AREA","M","USECODE"
"2882",2536,"A6310-0225-00","A6310-19-004","A6310-19","A6310-013-00","013","金龍里","63000100","內湖區","63000","臺北市","03","05",NA,310027.89033,2775271.10077,2776.57924,NA,NA
"2883",2537,"A6310-0222-00","A6310-15-009","A6310-15","A6310-001-00","001","西湖里","63000100","內湖區","63000","臺北市","03","05",NA,307239.89093,2775292.43282,2401.51819,NA,NA
"2884",2538,"A6311-1109-00","A6311-87-001","A6311-87","A6311-011-00","011","百齡里","63000110","士林區","63000","臺北市","03","05",NA,302414.08107,2775250.84446,5251.86918,NA,NA
"2885",2539,"A6304-0030-00","A6304-02-007","A6304-02","A6304-014-00","014","大直里","63000040","中山區","63000","臺北市","03","05",NA,305199.72507,2775266.86226,1992.30759,NA,NA
"2886",2540,"A6311-1106-00","A6311-94-001","A6311-94","A6311-017-00","017","葫蘆里","63000110","士林區","63000","臺北市","05","02",NA,301196.31587,2775268.75478,2728.97539,NA,NA
"2887",2541,"A6311-1107-00","A6311-88-002","A6311-88","A6311-011-00","011","百齡里","63000110","士林區","63000","臺北市","03","05",NA,302160.35206,2775255.52056,3300.77306,NA,NA
"2888",2542,"A6310-0244-00","A6310-19-008","A6310-19","A6310-009-00","009","內湖里","63000100","內湖區","63000","臺北市","15","01",NA,309946.62065,2775235.62729,12188.69634,NA,NA
"2889",2543,"A6310-0233-00","A6310-13-007","A6310-13","A6310-008-00","008","港華里","63000100","內湖區","63000","臺北市","03","02",NA,307870.33681,2775263.5933,2943.82031,NA,NA
"2890",2544,"A6311-1110-00","A6311-87-002","A6311-87","A6311-011-00","011","百齡里","63000110","士林區","63000","臺北市","03","05",NA,302462.8218,2775248.94852,4643.23238,NA,NA
"2891",2759,"A6310-0365-00","A6310-30-001","A6310-30","A6310-006-00","006","港都里","63000100","內湖區","63000","臺北市","05","05",NA,308065.81723,2775005.62019,25811.18337,NA,NA
"2892",2760,"A6304-0071-00","A6304-05-001","A6304-05","A6304-015-00","015","成功里","63000040","中山區","63000","臺北市","03","01",NA,305478.93495,2775075.19343,2704.50003,NA,NA
"2893",2761,"A6310-0342-00","A6310-31-001","A6310-31","A6310-009-00","009","內湖里","63000100","內湖區","63000","臺北市","02","05",NA,309669.39715,2775048.55578,3916.0049,NA,NA
"2894",2762,"A6304-0072-00","A6304-03-009","A6304-03","A6304-013-00","013","劍潭里","63000040","中山區","63000","臺北市","03","05",NA,304436.27383,2775055.91686,3931.61318,NA,NA
"2895",2763,"A6310-0378-00","A6310-27-010","A6310-27","A6310-017-00","017","清白里","63000100","內湖區","63000","臺北市","15","12",NA,309967.59179,2774977.7235,39451.28029,NA,NA
"2896",2764,"A6311-1209-00","A6311-60-019","A6311-60","A6311-013-00","013","福華里","63000110","士林區","63000","臺北市","12","05","行水區",302092.42967,2774924.78693,58524.92984,NA,NA
"2897",2765,"A6304-0098-00","A6304-07-006","A6304-07","A6304-041-00","041","金泰里","63000040","中山區","63000","臺北市","15","01",NA,306538.94185,2774907.53156,111325.65534,NA,NA
